keyword,site,search engine,location,groups,language,2017-01-03,2017-01-04,2017-01-05
master's degree in French,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Computing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Design,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Engineering,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Humanities,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Nursing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Social Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Statistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in General Technology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Genetics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Geography,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Geology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in German,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Graphic Design,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Health & Social Care,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Health & Wellbeing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Health Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Healthcare Practice,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Heritage,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in History,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Human Anatomy,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Human Computer Interaction,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Humanities,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in International Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Italian,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Languages,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Leadership & Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Linguistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Marketing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Mathematical Methods,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Mathematics & Statistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Medical Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Mental Health Nursing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Music,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Natural Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Networking,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Neuroscience,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Nursing & Healthcare Practice,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Pathology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Philosophy,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Physics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,74
master's degree in Politics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
