University,Country,rank,inv_rank
Oxford Brookes University,United Kingdom,271,0.43565519190132196
St. Mary's University of Minnesota,USA,1030,0.4354744056766735
University of Essex,United Kingdom,1325,0.4336257270764997
Eastern Virginia Medical School,USA,149,0.43041578576462297
State University of New York at Oswego,USA,684,0.43013768559849835
University of East Anglia,United Kingdom,1092,0.42935176433374145
Christian Brothers University,USA,237,0.42846525123344326
Rheinische Friedrich-Wilhelms Universität Bonn,Germany,827,0.42195987009072305
University of Alberta,Canada,521,0.4217392820429705
Texas Tech University Health Science Center,USA,440,0.4203012854973639
Western Kentucky University,USA,1150,0.4165666982305617
Chapman University,USA,1563,0.41507140949010285
Copenhagen University,Denmark,1409,0.4137411989523222
Assumption College,USA,776,0.4127068140065925
Birmingham City University,United Kingdom,1153,0.41258516312508065
University of Huddersfield,United Kingdom,726,0.4124753063297597
Loma Linda University,USA,920,0.41244053214592513
University of New England,USA,482,0.4037931754236102
Azusa Pacific University,USA,1654,0.40113230478560474
Flinders University of South Australia,Australia,932,0.4004646774395788
Simon Fraser University,Canada,1146,0.39763659889233105
"City University of New York, City College",USA,610,0.39751830848458397
University of Houston - Clear Lake,USA,1659,0.39469915399400063
Universität Hamburg,Germany,829,0.39294141983764896
University of Guelph,Canada,1040,0.39148219768873443
Universidade de Coimbra,Portugal,762,0.39034246725131955
University of Mary,USA,1202,0.39028380374345917
Post University of Waterbury,USA,360,0.39022436173919767
University of Nairobi,Kenya,1244,0.3886693595329337
New York Chiropractic College,USA,58,0.3879432624113475
Central Michigan University,USA,1162,0.38791078835705506
Georgia Southern University,USA,987,0.3840057656062953
Barry University,USA,922,0.3811457466319388
"California State University, San Marcos",USA,830,0.38064070057556376
The Robert Gordon University,United Kingdom,698,0.3800249796157713
Fayetteville State University,USA,90,0.3793248945147679
Messiah College,USA,1072,0.37825827752215824
Utrecht University,Netherlands,1463,0.3775401503986956
Canterbury Christ Church University,United Kingdom,850,0.37610528322362835
Curtin University of Technology,Australia,847,0.3728799519227907
"University of Maine, Orono",USA,905,0.3713906216475603
State University of New York College of Environmental Science and Forestry,USA,483,0.37126038175246806
University of Houston - Downtown,USA,1181,0.37060755876529944
Clark University,USA,1024,0.366414351026834
Berklee College of Music,USA,192,0.36525634644101546
Umea University,Sweden,625,0.3648700329568902
University of South Australia,Australia,1043,0.3628892292265985
Universidad Autónoma de Madrid,Spain,866,0.35981692574488755
Northern Michigan University,USA,377,0.35733583818883274
University of Alaska (System),USA,941,0.3572196373858981
Universidade do Porto,Portugal,687,0.35294893913247205
Weber State University,USA,917,0.35267308764663424
University of Adelaide,Australia,1182,0.35078151963190846
Ryerson Polytechnic University,Canada,656,0.3505091157938141
Indiana University-Purdue University at Fort Wayne,USA,861,0.3482892945682409
Naropa University,USA,233,0.34825184377210344
"California State University, San Bernadino",USA,959,0.34663523877042157
University of Central Missouri,USA,736,0.3459369547953795
Bethel College St. Paul,USA,402,0.345584714941255
Humboldt Universität Berlin,Germany,1240,0.34410233852382816
University of Massachusetts at Dartmouth,USA,1062,0.34240842234423835
University of Central Arkansas,USA,1422,0.34006122556447144
University of Strathclyde,United Kingdom,1239,0.3371734290468633
University of the Sunshine Coast,Australia,573,0.3364339279306072
University of Aberdeen,United Kingdom,1308,0.33606893624791606
Free University Amsterdam,Netherlands,1533,0.3356682857450699
The Manchester Metropolitan University,United Kingdom,770,0.33521703373263967
Samford University,USA,609,0.3321161824338128
University of San Diego,USA,900,0.3320036932549318
Campion College,Canada,817,0.3314290661398265
University of Ottawa,Canada,948,0.32991243075992455
University of Louisiana at Monroe,USA,356,0.3296510741632693
University of Chester,United Kingdom,773,0.3273747912652635
State University of New York College at Plattsburgh,USA,260,0.3259282188859654
Oregon Health Sciences University,USA,1462,0.3220700893987177
University of Fribourg,Switzerland,1005,0.32039977109842
University of Texas Medical Branch Galveston,USA,471,0.3200953751865606
University of Tampere,Finland,1222,0.31844485184121873
Coventry University,United Kingdom,708,0.31796517328774276
Keller Graduate School of Management,USA,212,0.3172172272172272
Lamar University,USA,936,0.3164816543745367
Marshall University,USA,697,0.3135144029562366
Fort Hays State University,USA,797,0.313475296958976
University of Western Australia,Australia,1525,0.3123660351365549
Duquesne University,USA,809,0.31037727047358393
Edith Cowan University,Australia,803,0.3099207507305565
University of Canberra,Australia,173,0.30917293233082704
Universidad Politécnica de Valencia,Spain,471,0.3077677323429408
University of Trento,Italy,826,0.3050234909697983
New England Institute of Technology,USA,875,0.3044429877772153
Washburn University,USA,824,0.2996518305299501
Arcadia University,USA,274,0.2993428140486964
East Tennessee State University,USA,622,0.2990929522590249
Norwich University,USA,274,0.2959100528039673
Jackson State University,USA,998,0.29429570642114145
Auckland University of Technology,New Zealand,1135,0.29398070566480305
Universidad de Valencia,Spain,941,0.2933977165893482
McNeese State University,USA,803,0.29165295877072306
Troy University,USA,604,0.28981324278438036
University of North Florida,USA,1604,0.28949738533005387
University of Technology Sydney,Australia,606,0.2883138373282993
"California State University, Dominguez Hills",USA,823,0.2872431493936261
Dublin City University,Ireland,504,0.2863173756002848
Hawaii Pacific University,USA,471,0.2824414930355336
Oregon Institute of Technology,USA,752,0.28195724606286476
University of Southern Queensland,Australia,1151,0.2812509888209882
Johnson & Wales University,USA,231,0.28109122584732343
Notre Dame de Namur University,USA,915,0.28089880041196114
